Lab ID,File 1,File 2,Similarity (%),Hash Similarity (%),Structural Similarity (%),Token Similarity (%),Embedding Similarity (%),TF-IDF Similarity (%)
lab6,67543206113-2,671-1,18.51,0.00,13.68,0.00,94.48,35.80
lab6,67543206113-2,67543206110-8,15.91,0.00,64.31,60.22,97.13,41.65
lab6,671-1,67543206110-8,21.95,0.00,15.82,0.00,95.99,45.19
lab4,671-1,67543206110-8,17.14,0.00,15.31,0.00,96.72,52.53
lab4,671-1,67543206113-2,17.76,0.00,17.39,0.00,95.19,70.74
lab4,67543206110-8,67543206113-2,25.22,0.00,82.55,57.97,98.44,58.82
lab11,67543206113-2,671-1,32.88,0.00,23.88,0.00,94.58,25.52
lab11,67543206113-2,67543206111-6,0.00,0.00,0.00,0.00,88.35,20.25
lab11,67543206113-2,67543206110-8,49.34,0.00,64.06,0.00,99.70,52.17
lab11,671-1,67543206111-6,0.00,0.00,0.00,0.00,98.20,13.07
lab11,671-1,67543206110-8,31.30,0.00,26.51,0.00,94.72,64.90
lab11,67543206111-6,67543206110-8,0.00,0.00,0.00,0.00,88.57,13.81
lab7,67543206110-8,671-1,29.30,0.00,22.09,0.00,95.37,44.93
lab7,67543206110-8,67543206113-2,21.02,0.00,59.46,0.00,99.57,57.71
lab7,671-1,67543206113-2,30.21,0.00,18.29,0.00,96.04,39.52
lab9,67543206110-8,671-1,32.84,0.00,24.44,0.00,94.72,57.05
lab9,67543206110-8,67543206113-2,54.68,0.00,53.10,0.00,99.79,80.89
lab9,671-1,67543206113-2,47.83,0.00,48.89,0.00,94.69,53.07
lab3,67543206110-8,671-1,35.82,0.00,11.76,0.00,99.13,89.06
lab3,67543206110-8,67543206006-8,12.97,0.00,15.93,0.00,98.24,37.06
lab3,67543206110-8,67543206113-2,4.69,0.00,1.21,0.00,98.33,48.88
lab3,67543206110-8,9999999-9,31.69,0.00,28.21,0.00,92.39,38.76
lab3,671-1,67543206006-8,8.73,0.00,8.22,0.00,96.92,29.49
lab3,671-1,67543206113-2,7.44,0.00,5.16,0.00,97.20,45.65
lab3,671-1,9999999-9,11.29,0.00,8.80,0.00,94.47,45.13
lab3,67543206006-8,67543206113-2,4.55,0.00,3.51,0.00,99.64,30.79
lab3,67543206006-8,9999999-9,8.53,0.00,7.77,0.00,91.60,18.21
lab3,67543206113-2,9999999-9,3.45,0.00,2.36,0.00,91.50,18.03
lab5,67543206113-2,67543206110-8,18.94,0.00,4.20,0.00,88.15,38.96
lab5,67543206113-2,671-1,18.82,0.00,16.79,0.00,95.85,40.19
lab5,67543206110-8,671-1,12.40,0.00,9.44,0.00,96.94,67.05
lab1,673333333-3,673-3,100.00,100.00,100.00,0.00,100.00,100.00
lab1,673333333-3,67543206110-8,21.16,0.00,16.30,0.00,96.88,28.07
lab1,673333333-3,671-1,21.31,0.00,15.71,0.00,97.05,27.22
lab1,673-3,67543206110-8,21.16,0.00,16.30,0.00,96.88,28.07
lab1,673-3,671-1,21.31,0.00,15.71,0.00,97.05,27.22
lab1,67543206110-8,671-1,64.37,0.00,84.58,99.09,99.59,96.30
lab12,67543206113-2,671-1,6.27,0.00,3.23,0.00,96.33,28.45
lab12,67543206113-2,67543206110-8,30.42,0.00,63.79,0.00,98.70,47.83
lab12,671-1,67543206110-8,8.53,0.00,6.10,0.00,97.52,57.06
lab10,67543206110-8,67543206113-2,59.89,0.00,57.72,0.00,99.58,55.20
lab10,67543206110-8,671-1,42.38,0.00,35.79,0.00,95.24,41.44
lab10,67543206113-2,671-1,52.05,0.00,38.64,0.00,94.31,64.11
lab2,672-2,671-1,51.24,0.00,57.89,0.00,94.93,22.60
